file,label,name
InsulaCluster_K3_L-dAI.nii.gz,1,L-dAI
InsulaCluster_K3_L-PI.nii.gz,2,L-PI
InsulaCluster_K3_L-vAI.nii.gz,3,L-vAI
InsulaCluster_K3_R-dAI.nii.gz,4,R-dAI
InsulaCluster_K3_R-PI.nii.gz,5,R-PI
InsulaCluster_K3_R-vAI.nii.gz,6,R-vAI
